sub_name,sub_code,lecture,tutorial,practical,credit_hours,contact_hours,sub_type,course_id,branch_id,wef_year,wef_session,remarks
Surveying,MER13151,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Methods of Applied Mathematics - I,AMR13101,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Solid Mechanics Practical,CEC13201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Fluid Mechanics Practical,CEC13202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Material Testing Practical,CEC13203,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Surveying Practical,MER13251,0,0,3,3,3,Practical,b.tech,civ,2019-2020,Monsoon,
Hydraulics and Hydraulic Machines,CEC14101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC14301,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Co-Curricular Activity ,SWC14701,0,0,0,3,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Structural Analysis-I,CEC14102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-I,ESC14151,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Physical and Structural Geology,GLR14157,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Numerical and Statistical Methods,AMR14101,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Hydraulics and Hydraulic Machines Practical,CEC14201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Structural Analysis-I Practical ,CEC14202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-I Practical,ESC14251,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Structural Geology Practical,GLC14257,0,0,3,3,3,Practical,b.tech,civ,2019-2020,Monsoon,
Design of Concrete Structure-I,CEC15101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Geotechnical Engineering-I,CEC15102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Structural Analysis-II ,CEC15103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-II,ESE15151,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Concrete Structure-I Practical,CEC15201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Geotechnical Engineering-I Practical,CEC15202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-II Practical,ESE15251,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC15301,0,0,4,4,4,Practical,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structures-I,CEC16101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Transportation Engineering -I,CEC16102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Geotechnical Engineering-II,CEC16103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Concrete Structure-II,CEC16104,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structure-I Practical,CEC16201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Transportation Engineering -I Practical,CEC16202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Seminar: Paper and Presentation,CEC16501,0,0,0,2,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC16301,0,0,4,4,4,Practical,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structures-II ,CEC17101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Transportation Engineering-II,CEC17102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Water Resources Engineering,CEC17103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Foundation Engineering,CEC17104,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structures-II Practical,CEC17201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Water Resources Engineering Practical,CEC17202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Seminar: Paper and Presentation,CEC17501,0,0,0,2,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Project work,CEC17301,0,0,6,6,6,Practical,b.tech,civ,2019-2020,Monsoon,
Construction Planning and Management,CEC18101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Finite Element Method,CEC18102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Industrial Management,MSR16152,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Pre-Stressed Concrete Design,CEE18101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Ground Improvement,CEE18102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Hydrology and Hydraulic Structures,CEE18103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Environmental Impact Assessment,CEE18104,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Finite Element Method Practical,CEC18201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Seminar: Paper and Presentation,CEC18501,0,0,0,2,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Evaluation and credit on Field Visit,CEC18402,0,0,0,6,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC18301,0,0,6,6,6,Practical,b.tech,civ,2019-2020,Monsoon,
Composite Viva-voce,CEC18801,0,0,0,4,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Programming Language Concepts,CSC13101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Data Structures,CSC13102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Discrete Mathematics,CSC13103,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Digital Electronics,ECR13101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Methods of Applied Mathematics - I,AMR13101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Programming Language Concepts Lab,CSC13201,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Data Structures Lab,CSC13202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Project,CSC13801,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Computer Organization & Architecture,CSC14101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Project,CSC14801,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Algorithm Design & Analysis,CSC14102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Microprocessors & Applications,ECR14101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Numerical & Statistical Methods,AMR14101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
English for Professional Communication,HSC14306,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Organization & Architecture Lab,CSC14201,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Algorithm Design & Analysis Lab,CSC14202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Composite Viva-Voce,CSC14501,0,0,0,4,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Co-Curricular Activities,SWC14701,0,0,0,3,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Combinatorics and Graph Theory,CSC15101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Operating Systems,CSC15102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Theory of Computation,CSC15103,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Software Engineering ,CSC15104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Database Management Systems,CSC15105,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Operating Systems Lab,CSC15202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Software Engineering Lab ,CSC15204,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Database Management Systems Lab,CSC15205,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Project,CSC15801,0,0,4,4,4,Practical,b.tech,cse,2019-2020,Monsoon,
Artificial Intelligence,CSC16101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Project,CSC16801,0,0,4,4,4,Practical,b.tech,cse,2019-2020,Monsoon,
Computer Networks,CSC16102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Graphics,CSC16103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Language Processors,CSC16104,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Managerial Economics,MSR14151,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Networks Lab,CSC16202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Computer Graphics Lab,CSC16203,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Language Processors Lab,CSC16204,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Composite Viva Voce,CSC16501,0,0,0,4,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Cryptography and Network Security,CSC17101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Parallel & Distributed Computing,CSC17102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Image Processing,CSE17101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Geometry,CSE17110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Evolutionary Computation,CSE17111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Complexity Theory,CSE17112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Advanced Algorithms,CSE17102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Functional & Logic Programming,CSE17103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Object Oriented Data Modeling,CSE17104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Information and Coding Theory,CSE17105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Multimedia Systems,CSE17106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Pattern Recognition,CSE17107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Advanced Compilers,CSE17108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Mining,CSE17109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Image Processing,CSE17101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Geometry,CSE17110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Evolutionary Computation,CSE17111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Complexity Theory,CSE17112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Advanced Algorithms,CSE17102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Functional & Logic Programming,CSE17103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Object Oriented Data Modeling,CSE17104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Information and Coding Theory,CSE17105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Multimedia Systems,CSE17106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Pattern Recognition,CSE17107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Advanced Compilers,CSE17108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Mining,CSE17109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Cryptography & Network Security Lab,CSC17201,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Parallel & Distributed Computing Lab,CSC17202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Vacational Training,CSC17001,0,0,0,5,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Project,CSC17801,0,0,6,6,6,Practical,b.tech,cse,2019-2020,Monsoon,
VLSI Design,CSC18101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Information Retrieval ,CSC18102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Digital System Testing and Testable Design,CSE18101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Fault Tolerant Computing Systems,CSE18110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
E-Commerce Technologies,CSE18111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Quantum Computing,CSE18112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Soft Computing ,CSE18102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Biology,CSE18103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Mobile Communication,CSE18104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Number Theory ,CSE18105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Distributed Operating Systems ,CSE18106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Public Key Infrastructure and Trust Management ,CSE18107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Vision,CSE18108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Internet Technology ,CSE18109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Digital System Testing and Testable Design,CSE18101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Fault Tolerant Computing Systems,CSE18110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
E-Commerce Technologies,CSE18111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Quantum Computing,CSE18112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Soft Computing ,CSE18102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Biology,CSE18103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Mobile Communication,CSE18104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Number Theory ,CSE18105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Distributed Operating Systems ,CSE18106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Public Key Infrastructure and Trust Management ,CSE18107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Vision,CSE18108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Internet Technology ,CSE18109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
VLSI Design Lab,CSC18201,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Information Retrieval  Lab,CSC18202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Composite Viva Voce,CSC18502,0,0,0,4,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Project ,CSC18801,0,0,6,6,6,Practical,b.tech,cse,2019-2020,Monsoon,
Programming Language Concepts,CSC13101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Data Structures,CSC13102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Discrete Mathematics,CSC13103,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Digital Electronics,ECR13101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Methods of Applied Mathematics - I,AMR13101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Programming Language Concepts Lab,CSC13201,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Data Structures Lab,CSC13202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Project,CSC13801,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Computer Organization & Architecture,CSC14101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Project,CSC14801,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Algorithm Design & Analysis,CSC14102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Microprocessors & Applications,ECR14101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Numerical & Statistical Methods,AMR14101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
English for Professional Communication,HSC14306,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Organization & Architecture Lab,CSC14201,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Algorithm Design & Analysis Lab,CSC14202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Composite Viva-Voce,CSC14501,0,0,0,4,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Co-Curricular Activities,SWC14701,0,0,0,3,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Combinatorics and Graph Theory,CSC15101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Operating Systems,CSC15102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Theory of Computation,CSC15103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Networks,CSC15106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Operating Systems Lab,CSC15202,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Computer Networks Lab,CSC15206,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Project,CSC15801,0,0,4,4,4,Practical,b.tech,cse,2019-2020,Monsoon,
Artificial Intelligence,CSC16101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Database Management Systems,CSC16105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Compiler Design,CSC16106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Managerial Economics,MSR14151,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Database Management Systems Lab,CSC16205,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Compiler Design Lab,CSC16206,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Composite Viva Voce,CSC16501,0,0,0,4,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Project,CSC16801,0,0,4,4,4,Practical,b.tech,cse,2019-2020,Monsoon,
Parallel & Distributed Computing,CSC17102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Software Engineering,CSC17103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Image Processing,CSE17101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Complexity Theory,CSE17112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Number Theory,CSE17113,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Functional & Logic Programming,CSE17103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Object Oriented Data Modeling,CSE17104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Information and Coding Theory,CSE17105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Pattern Recognition,CSE17107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Advanced Compilers,CSE17108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Mining,CSE17109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Geometry,CSE17110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Evolutionary Computation,CSE17111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Image Processing,CSE17101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Complexity Theory,CSE17112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Number Theory,CSE17113,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Functional & Logic Programming,CSE17103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Object Oriented Data Modeling,CSE17104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Information and Coding Theory,CSE17105,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Pattern Recognition,CSE17107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Advanced Compilers,CSE17108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Mining,CSE17109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Geometry,CSE17110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Evolutionary Computation,CSE17111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Parallel & Distributed Computing Lab,CSC17202,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Software Engineering Lab,CSC17203,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Vacational Training,CSC17001,0,0,0,5,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Project,CSC17801,0,0,6,6,6,Practical,b.tech,cse,2019-2020,Monsoon,
Wireless & Mobile Communication,CSC18103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Digital System Testing and Testable Design,CSE18101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Quantum Computing,CSE18112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Multimedia Systems,CSE18113,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
VLSI Design and Testing,CSE18114,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Intrusion Detection Systems,CSE18115,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Analytics,CSE18116,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Soft Computing ,CSE18102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Biology,CSE18103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Distributed Operating Systems ,CSE18106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Public Key Infrastructure and Trust Management ,CSE18107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Vision,CSE18108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Internet Technology ,CSE18109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Fault Tolerant Computing Systems,CSE18110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
E-Commerce Technologies,CSE18111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Digital System Testing and Testable Design,CSE18101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Quantum Computing,CSE18112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Multimedia Systems,CSE18113,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
VLSI Design and Testing,CSE18114,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Intrusion Detection Systems,CSE18115,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Analytics,CSE18116,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Soft Computing ,CSE18102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Biology,CSE18103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Distributed Operating Systems ,CSE18106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Public Key Infrastructure and Trust Management ,CSE18107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Vision,CSE18108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Internet Technology ,CSE18109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Fault Tolerant Computing Systems,CSE18110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
E-Commerce Technologies,CSE18111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Digital System Testing and Testable Design,CSE18101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Quantum Computing,CSE18112,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Multimedia Systems,CSE18113,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
VLSI Design and Testing,CSE18114,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Intrusion Detection Systems,CSE18115,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Data Analytics,CSE18116,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Soft Computing ,CSE18102,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computational Biology,CSE18103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Distributed Operating Systems ,CSE18106,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Public Key Infrastructure and Trust Management ,CSE18107,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Vision,CSE18108,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Internet Technology ,CSE18109,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Fault Tolerant Computing Systems,CSE18110,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
E-Commerce Technologies,CSE18111,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Wireless & Mobile Communication Lab,CSC18203,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Composite Viva Voce,CSC18502,0,0,0,4,0,Non-Contact,b.tech,cse,2019-2020,Monsoon,
Project,CSC18801,0,0,6,6,6,Practical,b.tech,cse,2019-2020,Monsoon,
Data Structures,CSC13102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Discrete Mathematics,CSC13103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Object Oriented Programming,CSC13104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Digital Electronics,ECR13101,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Methods of Applied Mathematics -I,AMR13101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Data Structures Lab,CSC13202,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Object Oriented Programming Lab,CSC13204,0,0,3,3,3,Practical,b.tech,cse,2019-2020,Monsoon,
Project,CSC13801,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Algorithm Design & Analysis,CSC14102,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
Project,CSC14801,0,0,2,2,2,Practical,b.tech,cse,2019-2020,Monsoon,
Theory of Computation,CSC14103,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Computer Organization ,CSC14104,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
Numerical & Statistical Methods,AMR14101,3,1,0,7,4,Theory,b.tech,cse,2019-2020,Monsoon,
English for Professional Communication,HSC14306,3,0,0,6,3,Theory,b.tech,cse,2019-2020,Monsoon,
